"weekEnding,ne,enc,c,se,wnc,s,sw,nw,w,nat,neAnom,encAnom,cAnom,seAnom,wncAnom,sAnom,swAnom,nwAnom,wAnom,natAnom"
"20130518,57.37,56.78,63.31,67.42,56.73,69.05,62.22,58.04,63.85,62.28,1.47,0.38,0.51,-1.98,2.73,-1.15,3.02,5.24,3.75,1.38"
"20130525,57.55,56.36,63.62,68.46,55.68,70.04,61.99,55.33,62.33,62.02,1.65,-0.04,0.82,-0.94,1.68,-0.16,2.79,2.53,2.23,1.12"
"20130531,57.77,56.48,64.07,68.79,55.17,70.82,61.82,54.18,61.83,62.03,1.87,0.08,1.27,-0.61,1.17,0.62,2.62,1.38,1.73,1.13"
"20130601,65.10,65.58,71.85,76.11,63.06,78.35,68.87,59.21,67.95,69.36,0.40,0.08,0.45,0.11,-0.14,0.55,0.27,-0.49,-0.05,0.16"
"20130608,64.58,59.32,68.77,77.10,60.40,76.87,72.61,63.81,74.64,69.39,-0.12,-6.18,-2.63,1.10,-2.80,-0.93,4.01,4.11,6.64,0.19"
"20130615,64.21,62.31,70.82,77.72,62.54,78.79,74.07,62.00,72.86,70.49,-0.49,-3.19,-0.58,1.72,-0.66,0.99,5.47,2.30,4.86,1.29"
"20130622,64.05,63.77,71.77,77.52,62.39,79.21,73.30,59.17,70.40,70.18,-0.70,-1.80,0.01,0.95,0.25,1.27,4.64,1.34,2.74,1.18"
"20130629,65.34,65.06,72.45,77.53,63.24,80.00,73.31,59.59,70.33,70.75,0.59,-0.51,0.69,0.96,1.10,2.06,4.65,1.76,2.67,1.75"
"20130630,65.51,65.08,72.31,77.44,63.34,79.82,73.30,59.87,70.54,70.76,0.76,-0.49,0.55,0.87,1.20,1.88,4.64,2.04,2.88,1.76"
"20130706,74.25,69.92,72.46,77.97,72.62,78.39,77.61,74.16,82.15,75.75,4.98,0.00,-2.98,-1.42,3.64,-2.92,3.82,8.77,7.66,1.81"
"20130713,73.50,71.17,74.35,78.32,72.62,81.58,77.59,71.28,79.06,76.13,4.23,1.26,-1.09,-1.07,3.64,0.27,3.80,5.89,4.57,2.19"
"20130720,75.02,72.82,76.14,78.76,72.17,80.47,76.42,70.90,78.03,76.02,5.75,2.91,0.70,-0.63,3.19,-0.84,2.63,5.51,3.54,2.08"
"20130727,73.07,70.67,75.04,78.61,70.93,80.44,76.05,71.01,77.67,75.32,3.80,0.76,-0.40,-0.78,1.95,-0.87,2.26,5.62,3.18,1.38"
"20130731,72.30,69.76,74.33,78.54,70.15,80.54,75.91,70.38,77.08,74.89,3.03,-0.15,-1.11,-0.85,1.17,-0.77,2.12,4.99,2.59,0.95"
"20130803,66.80,65.20,71.61,77.97,65.75,80.76,72.40,65.13,72.71,71.89,-0.93,-2.70,-2.53,-0.58,-1.74,-0.03,0.51,0.30,-0.58,-0.83"
"20130810,65.98,63.78,71.95,78.54,65.70,81.88,72.36,69.09,72.33,72.30,-1.75,-4.12,-2.19,-0.01,-1.79,1.09,0.47,4.26,-0.96,-0.42"
"20130817,65.05,63.27,70.36,77.55,66.22,80.39,72.61,69.46,72.88,71.85,-2.68,-4.63,-3.78,-1.00,-1.27,-0.40,0.72,4.63,-0.41,-0.87"
"20130824,66.12,65.66,71.43,77.48,68.20,80.46,73.48,69.72,73.73,72.77,-1.61,-2.24,-2.71,-1.07,0.71,-0.33,1.59,4.89,0.44,0.05"
"20130831,67.45,68.35,73.32,77.70,70.30,81.24,73.85,69.91,74.02,73.86,-0.28,0.45,-0.82,-0.85,2.81,0.45,1.96,5.08,0.73,1.14"
"20130907,61.50,61.95,68.24,75.35,66.79,78.01,71.10,63.03,70.71,69.80,1.37,2.51,1.50,2.01,9.52,4.12,6.42,5.72,3.92,4.62"
"20130914,62.09,62.90,69.96,75.46,65.26,77.95,68.45,64.59,70.39,69.58,1.96,3.46,3.22,2.12,7.99,4.06,3.77,7.28,3.60,4.40"
"20130921,60.48,61.60,69.00,74.65,63.73,77.49,68.29,63.41,69.74,68.70,0.35,2.16,2.26,1.31,6.46,3.60,3.61,6.10,2.95,3.52"
"20130928,59.92,61.93,68.45,73.97,62.60,77.05,67.22,61.35,67.91,67.83,-0.21,2.49,1.71,0.63,5.33,3.16,2.54,4.04,1.12,2.65"
"20130930,60.35,62.15,68.86,74.11,62.19,77.15,66.97,60.91,67.73,67.80,0.22,2.71,2.12,0.77,4.92,3.26,2.29,3.60,0.94,2.62"
"20131005,53.31,51.28,61.04,65.90,44.18,66.93,52.63,44.74,55.44,55.69,4.47,4.16,5.59,1.91,-0.63,3.29,-0.83,-1.85,-1.14,1.53"
"20131012,53.42,52.44,59.00,66.01,45.24,65.06,52.05,45.30,54.29,55.27,4.58,5.32,3.55,2.02,0.43,1.42,-1.41,-1.29,-2.29,1.11"
"20131019,54.06,49.86,57.79,66.54,43.57,63.70,51.14,45.58,54.60,54.43,5.22,2.74,2.34,2.55,-1.24,0.06,-2.32,-1.01,-1.98,0.27"
"20131026,51.97,47.43,55.02,64.66,44.18,62.65,52.20,47.50,56.26,53.98,3.13,0.31,-0.43,0.67,-0.63,-0.99,-1.26,0.91,-0.32,-0.18"
"20131031,51.65,47.37,55.36,65.02,44.14,63.35,52.60,47.54,56.15,54.20,2.81,0.25,-0.09,1.03,-0.67,-0.29,-0.86,0.95,-0.43,0.04"
"20131102,39.18,33.28,45.08,56.17,30.77,53.91,42.05,36.03,45.33,43.10,0.33,-0.02,0.48,0.84,-0.25,0.95,0.36,0.34,-0.29,0.34"
"20131109,36.92,33.19,43.81,53.93,31.11,51.98,42.18,35.65,46.49,42.39,-1.93,-0.11,-0.79,-1.40,0.09,-0.98,0.49,-0.04,0.87,-0.37"
"20131116,36.51,32.97,42.00,52.73,32.82,51.39,44.47,37.85,48.82,42.91,-2.34,-0.33,-2.60,-2.60,1.80,-1.57,2.78,2.16,3.20,0.15"
"20131123,37.60,33.07,43.17,55.03,31.67,52.61,44.39,37.43,48.47,43.30,-1.25,-0.23,-1.43,-0.30,0.65,-0.35,2.70,1.74,2.85,0.54"
"20131130,35.75,31.58,40.94,53.15,32.17,50.37,43.76,37.73,48.66,42.26,-3.10,-1.72,-3.66,-2.18,1.15,-2.59,2.07,2.04,3.04,-0.50"
"20131207,31.16,16.66,35.38,55.06,9.81,42.60,30.86,22.68,34.85,31.11,3.46,-3.20,1.94,7.61,-10.65,-1.14,-2.31,-5.90,-3.63,-2.13"
